CustomerID,Lookalikes
C0001,"[('C0035', 0.9924460851511603), ('C0146', 0.9918609202911733), ('C0127', 0.9838530225087658)]"
C0002,"[('C0133', 0.9928361743475252), ('C0134', 0.9877764103116657), ('C0144', 0.9787964013189587)]"
C0003,"[('C0166', 0.9944177406026348), ('C0031', 0.9878766175393784), ('C0195', 0.9875761483371963)]"
C0004,"[('C0085', 0.9849576036101332), ('C0017', 0.9834700471438371), ('C0113', 0.9814331362164781)]"
C0005,"[('C0007', 0.9964446809240447), ('C0197', 0.9953421274046703), ('C0069', 0.98398702775953)]"
C0006,"[('C0135', 0.9926237258165075), ('C0082', 0.9827711563536907), ('C0187', 0.9808594810686148)]"
C0007,"[('C0005', 0.9964446809240447), ('C0197', 0.9941066011663304), ('C0140', 0.9776391925230852)]"
C0008,"[('C0181', 0.9870663047877334), ('C0154', 0.985982330800263), ('C0162', 0.9852477562380795)]"
C0009,"[('C0198', 0.9601780052450613), ('C0049', 0.954213524862315), ('C0092', 0.9362606841468069)]"
C0010,"[('C0077', 0.9894546610985911), ('C0034', 0.9813577085939315), ('C0030', 0.9780064387001358)]"
C0011,"[('C0126', 0.9942875185672501), ('C0027', 0.9890825166864402), ('C0070', 0.9749977014191737)]"
C0012,"[('C0065', 0.9968961506978734), ('C0136', 0.9837416501937585), ('C0104', 0.9835120548552831)]"
C0013,"[('C0183', 0.9969785968207613), ('C0107', 0.9961533360760383), ('C0016', 0.99427299285026)]"
C0014,"[('C0128', 0.9967233987849807), ('C0060', 0.9942359267224621), ('C0097', 0.985475480660787)]"
C0015,"[('C0123', 0.9983217294479417), ('C0137', 0.9903128495314688), ('C0038', 0.9852791863528353)]"
C0016,"[('C0183', 0.9980142240020559), ('C0107', 0.9975066667633119), ('C0013', 0.99427299285026)]"
C0017,"[('C0090', 0.991808768493652), ('C0075', 0.9916820863720546), ('C0122', 0.9899803410295414)]"
C0018,"[('C0075', 0.9846883578062758), ('C0085', 0.9774598369729386), ('C0057', 0.9766380098956537)]"
C0019,"[('C0191', 0.987442538561847), ('C0070', 0.9705618754159975), ('C0174', 0.9625492260380815)]"
C0020,"[('C0120', 0.9994094768296631), ('C0130', 0.9874841344007516), ('C0069', 0.9779930782412)]"
